Collection|FileName|Xpath|Values
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gco:CharacterString|/DIF/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/Address
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:city/gco:CharacterString|/DIF/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/City
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:administrativeArea/gco:CharacterString|/DIF/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/Province_or_State
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:postalCode/gco:CharacterString|/DIF/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/Postal_Code
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:country/gco:CharacterString|/DIF/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/Country
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString|/DIF/Personnel[Role='TECHNICAL CONTACT']/Email
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode|processor
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode/@codeList|http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode/@codeListValue|processor
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString|/DIF/Data_Set_Citation/Dataset_Creator
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode|originator
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode/@codeList|http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode/@codeListValue|originator
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString|/DIF/Originating_Center
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode|originator
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode/@codeList|http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode/@codeListValue|originator
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString|/DIF/Data_Set_Citation/Dataset_Publisher
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode|publisher
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode/@codeList|http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode/@codeListValue|publisher
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:name/gco:CharacterString|/DIF/Data_Set_Citation/Dataset_Series_Name
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:issueIdentification/gco:CharacterString|/DIF/Data_Set_Citation/Issue_Identification
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:otherCitationDetails/gco:CharacterString|/DIF/Data_Set_Citation/Other_Citation_Details
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract/gco:CharacterString|/DIF/Summary/Abstract [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[/DIF/Originating_Metadata_Node]/DIF/Entry_ID ]
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:purpose/gco:CharacterString|/DIF/Summary/Purpose
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString|/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Last_Name, /DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/First_Name/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Middle_Name
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:organisationName/gco:CharacterString|/DIF/Data_Center/Data_Center_Name/Short_Name > /DIF/Data_Center/Data_Center_Name/Long_Name
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:positionName/gco:CharacterString|TECHNICAL CONTACT
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:voice/gco:CharacterString|/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Phone
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:facsimile/gco:CharacterString|/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Fax
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gco:CharacterString|/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/Address
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:city/gco:CharacterString|/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/City
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:administrativeArea/gco:CharacterString|/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/Province_or_State
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:postalCode/gco:CharacterString|/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/Postal_Code
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:country/gco:CharacterString|/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Contact_Address/Country
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString|/DIF/Data_Center/Personnel[Role='TECHNICAL CONTACT']/Email
